order,source_title,saas_title,logos_title,chapter_count,enabled,notes
1,Genesis,Genesis,Genesis,50,True,
2,Exodus,Exodus,Exodus,40,True,
3,Leviticus,Leviticus,Leviticus,27,True,
4,Numbers,Numbers,Numbers,36,True,
5,Deuteronomy,Deuteronomy,Deuteronomy,34,True,
6,Joshua,Joshua,Joshua,24,True,
7,Judges,Judges,Judges,21,True,
8,Ruth,Ruth,Ruth,4,True,
9,1 Samuel,1 Samuel,1 Samuel,31,True,
10,2 Samuel,2 Samuel,2 Samuel,24,True,
11,1 Kings,1 Kings,1 Kings,22,True,
12,2 Kings,2 Kings,2 Kings,25,True,
13,1 Chronicles,1 Chronicles,1 Chronicles,29,True,
14,2 Chronicles,2 Chronicles,2 Chronicles,36,True,
15,Ezra,Ezra,Ezra,10,True,
16,Nehemiah,Nehemiah,Nehemiah,13,True,
17,Esther,Esther,Esther,10,True,
18,Job,Job,Job,42,True,
19,Psalms,Psalms,Psalms,150,True,
20,Proverbs,Proverbs,Proverbs,31,True,
21,Ecclesiastes,Ecclesiastes,Ecclesiastes,12,True,
22,Song of Songs,Song of Songs,Song of Songs,8,True,
23,Isaiah,Isaiah,Isaiah,66,True,
24,Jeremiah,Jeremiah,Jeremiah,52,True,
25,Lamentations,Lamentations,Lamentations,5,True,
26,Ezekiel,Ezekiel,Ezekiel,48,True,
27,Daniel,Daniel,Daniel,12,True,
28,Hosea,Hosea,Hosea,14,True,
29,Joel,Joel,Joel,3,True,
30,Amos,Amos,Amos,9,True,
31,Obadiah,Obadiah,Obadiah,1,True,
32,Jonah,Jonah,Jonah,4,True,
33,Micah,Micah,Micah,7,True,
34,Nahum,Nahum,Nahum,3,True,
35,Habakkuk,Habakkuk,Habakkuk,3,True,
36,Zephaniah,Zephaniah,Zephaniah,3,True,
37,Haggai,Haggai,Haggai,2,True,
38,Zechariah,Zechariah,Zechariah,14,True,
39,Malachi,Malachi,Malachi,4,True,
40,Tobit,Tobit,Tobit,1,True,
41,Judith,Judith,Judith,1,True,
42,Wisdom of Solomon,Wisdom of Solomon,Wisdom of Solomon,1,True,
43,Sirach,Sirach,Sirach,1,True,
44,Baruch,Baruch,Baruch,1,True,
45,Epistle of Jeremiah,Epistle of Jeremiah,Epistle of Jeremiah,1,True,
46,Prayer of Azariah,Prayer of Azariah,Prayer of Azariah,1,True,
47,Susanna,Susanna,Susanna,1,True,
48,Bel and the Dragon,Bel and the Dragon,Bel and the Dragon,1,True,
49,1 Maccabees,1 Maccabees,1 Maccabees,1,True,
50,2 Maccabees,2 Maccabees,2 Maccabees,1,True,
51,3 Maccabees,3 Maccabees,3 Maccabees,1,True,
52,4 Maccabees,4 Maccabees,4 Maccabees,1,True,
53,1 Esdras,1 Esdras,1 Esdras,1,True,
54,Prayer of Manasseh,Prayer of Manasseh,Prayer of Manasseh,1,True,
55,Matthew,Matthew,Matthew,28,True,
56,Mark,Mark,Mark,16,True,
57,Luke,Luke,Luke,24,True,
58,John,John,John,21,True,
59,Acts,Acts,Acts,28,True,
60,Romans,Romans,Romans,16,True,
61,I Corinthians,I Corinthians,I Corinthians,16,True,
62,II Corinthians,II Corinthians,II Corinthians,13,True,
63,Galatians,Galatians,Galatians,6,True,
64,Ephesians,Ephesians,Ephesians,6,True,
65,Philippians,Philippians,Philippians,4,True,
66,Colossians,Colossians,Colossians,4,True,
67,I Thessalonians,I Thessalonians,I Thessalonians,5,True,
68,II Thessalonians,II Thessalonians,II Thessalonians,3,True,
69,I Timothy,I Timothy,I Timothy,6,True,
70,II Timothy,II Timothy,II Timothy,4,True,
71,Titus,Titus,Titus,3,True,
72,Philemon,Philemon,Philemon,1,True,
73,Hebrews,Hebrews,Hebrews,13,True,
74,James,James,James,5,True,
75,I Peter,I Peter,I Peter,5,True,
76,II Peter,II Peter,II Peter,3,True,
77,I John,I John,I John,5,True,
78,II John,II John,II John,1,True,
79,III John,III John,III John,1,True,
80,Jude,Jude,Jude,1,True,
81,Revelation,Revelation,Revelation,22,True,
