reference,slug,export_file,usage_count
1 CHRONICLES 29:10-13 [SELECTION],1_chronicles_29_10_13_selection,1_chronicles_29_10_13_selection.txt,1
1 CORINTHIANS 15:1-23 [SELECTION],1_corinthians_15_1_23_selection,1_corinthians_15_1_23_selection.txt,1
1 CORINTHIANS 15:1-27 [SELECTION],1_corinthians_15_1_27_selection,1_corinthians_15_1_27_selection.txt,1
1 CORINTHIANS 5:7-END,1_corinthians_5_7_end,1_corinthians_5_7_end.txt,1
1 PETER 1:1-9,1_peter_1_1_9,1_peter_1_1_9.txt,1
"1 TIMOTHY 4:9-16, 5:1-10",1_timothy_4_9_16_5_1_10,1_timothy_4_9_16_5_1_10.txt,1
2 CHRONICLES 37:1-15,2_chronicles_37_1_15,2_chronicles_37_1_15.txt,1
ACTS 1:15-20,acts_1_15_20,acts_1_15_20.txt,1
ACTS 3:12-21,acts_3_12_21,acts_3_12_21.txt,1
AMOS 3:1-11,amos_3_1_11,amos_3_1_11.txt,1
AMOS 4:4-13,amos_4_4_13,amos_4_4_13.txt,1
AMOS 5:18-END,amos_5_18_end,amos_5_18_end.txt,1
AMOS 5:6-14,amos_5_6_14,amos_5_6_14.txt,1
AMOS 8:9-12,amos_8_9_12,amos_8_9_12.txt,1
"AMOS 9:1, 9:4-6, 9:8-10",amos_9_1_9_4_6_9_8_10,amos_9_1_9_4_6_9_8_10.txt,1
BARUCH 2:11-15,baruch_2_11_15,baruch_2_11_15.txt,1
COLOSSIANS 2:13-15,colossians_2_13_15,colossians_2_13_15.txt,1
DANIEL 3:25-51,daniel_3_25_51,daniel_3_25_51.txt,1
"DANIEL 7:2, 7:9-15",daniel_7_2_7_9_15,daniel_7_2_7_9_15.txt,1
DANIEL 9:4-19,daniel_9_4_19,daniel_9_4_19.txt,1
DEUTERONOMY 32:1-43,deuteronomy_32_1_43,deuteronomy_32_1_43.txt,1
"DEUTERONOMY 5:1, 8:19-END, 9:1-24 [SELECTION]",deuteronomy_5_1_8_19_end_9_1_24_selection,deuteronomy_5_1_8_19_end_9_1_24_selection.txt,1
DEUTERONOMY 8:11-END,deuteronomy_8_11_end,deuteronomy_8_11_end.txt,1
EXODUS 12:1-14,exodus_12_1_14,exodus_12_1_14.txt,1
EXODUS 13:17-END,exodus_13_17_end,exodus_13_17_end.txt,1
"EXODUS 14:13-END, 15:1",exodus_14_13_end_15_1,exodus_14_13_end_15_1.txt,1
"EXODUS 15:22-END, 16:1-3",exodus_15_22_end_16_1_3,exodus_15_22_end_16_1_3.txt,1
EXODUS 17:1-7,exodus_17_1_7,exodus_17_1_7.txt,1
EXODUS 17:8-16,exodus_17_8_16,exodus_17_8_16.txt,1
EXODUS 19:1-9,exodus_19_1_9,exodus_19_1_9.txt,1
"EXODUS 32:30-END, 33:1-5 [SELECTION]",exodus_32_30_end_33_1_5_selection,exodus_32_30_end_33_1_5_selection.txt,1
EXODUS 32:7-15,exodus_32_7_15,exodus_32_7_15.txt,1
EZEKIEL 18:20-32,ezekiel_18_20_32,ezekiel_18_20_32.txt,1
EZEKIEL 20:27-33,ezekiel_20_27_33,ezekiel_20_27_33.txt,1
EZEKIEL 20:39-44,ezekiel_20_39_44,ezekiel_20_39_44.txt,1
EZEKIEL 21:3-18 [SELECTION],ezekiel_21_3_18_selection,ezekiel_21_3_18_selection.txt,1
EZEKIEL 21:33-37,ezekiel_21_33_37,ezekiel_21_33_37.txt,1
EZEKIEL 22:17-22,ezekiel_22_17_22,ezekiel_22_17_22.txt,1
EZEKIEL 22:23-28,ezekiel_22_23_28,ezekiel_22_23_28.txt,1
EZEKIEL 22:23-28 [SELECTION],ezekiel_22_23_28_selection,ezekiel_22_23_28_selection.txt,1
EZEKIEL 36:16-23,ezekiel_36_16_23,ezekiel_36_16_23.txt,1
EZEKIEL 37:1-14,ezekiel_37_1_14,ezekiel_37_1_14.txt,1
EZEKIEL 43:5-11,ezekiel_43_5_11,ezekiel_43_5_11.txt,1
GALATIANS 3:1-6 [SELECTION],galatians_3_1_6_selection,galatians_3_1_6_selection.txt,1
GALATIANS 6:14-END,galatians_6_14_end,galatians_6_14_end.txt,1
GENESIS 14:17-20,genesis_14_17_20,genesis_14_17_20.txt,1
GENESIS 1:1-2:3,genesis_1_1_2_3,genesis_1_1_2_3.txt,1
GENESIS 22:1-19 [SELECTION],genesis_22_1_19_selection,genesis_22_1_19_selection.txt,1
GENESIS 24:1-9,genesis_24_1_9,genesis_24_1_9.txt,1
"GENESIS 2:15-END, 3:1-END",genesis_2_15_end_3_1_end,genesis_2_15_end_3_1_end.txt,1
GENESIS 48:1-19 [SELECTION],genesis_48_1_19_selection,genesis_48_1_19_selection.txt,1
"GENESIS 6:5-END, 7:1-END, 8:1-END, 9:1-7",genesis_6_5_end_7_1_end_8_1_end_9_1_7,genesis_6_5_end_7_1_end_8_1_end_9_1_7.txt,1
HABAKKUK 3:2-19,habakkuk_3_2_19,habakkuk_3_2_19.txt,1
"HOSEA 10:12-END, 11:1-2",hosea_10_12_end_11_1_2,hosea_10_12_end_11_1_2.txt,1
HOSEA 4:1-8,hosea_4_1_8,hosea_4_1_8.txt,1
"HOSEA 4:15-END, 5:1-7",hosea_4_15_end_5_1_7,hosea_4_15_end_5_1_7.txt,1
"HOSEA 5:13-END, 6:1-3 [SELECTION]",hosea_5_13_end_6_1_3_selection,hosea_5_13_end_6_1_3_selection.txt,1
"HOSEA 9:14-END, 10:1-2",hosea_9_14_end_10_1_2,hosea_9_14_end_10_1_2.txt,1
"ISAIAH 12:2-END, 13:2-10",isaiah_12_2_end_13_2_10,isaiah_12_2_end_13_2_10.txt,1
ISAIAH 1:1-9,isaiah_1_1_9,isaiah_1_1_9.txt,1
ISAIAH 1:2-9,isaiah_1_2_9,isaiah_1_2_9.txt,1
ISAIAH 24:1-13,isaiah_24_1_13,isaiah_24_1_13.txt,1
ISAIAH 25:1-12,isaiah_25_1_12,isaiah_25_1_12.txt,1
ISAIAH 26:1-9,isaiah_26_1_9,isaiah_26_1_9.txt,1
ISAIAH 26:9-20 [SELECTION],isaiah_26_9_20_selection,isaiah_26_9_20_selection.txt,1
"ISAIAH 27:11-13, 28:1-15 [SELECTION]",isaiah_27_11_13_28_1_15_selection,isaiah_27_11_13_28_1_15_selection.txt,1
ISAIAH 28:16-29,isaiah_28_16_29,isaiah_28_16_29.txt,1
ISAIAH 2:10-21,isaiah_2_10_21,isaiah_2_10_21.txt,1
ISAIAH 30:25-30,isaiah_30_25_30,isaiah_30_25_30.txt,1
ISAIAH 40:1-5,isaiah_40_1_5,isaiah_40_1_5.txt,1
ISAIAH 40:9-END,isaiah_40_9_end,isaiah_40_9_end.txt,1
ISAIAH 45:15-20 [SELECTION],isaiah_45_15_20_selection,isaiah_45_15_20_selection.txt,1
ISAIAH 48:1-6 [SELECTION],isaiah_48_1_6_selection,isaiah_48_1_6_selection.txt,1
ISAIAH 48:12-22,isaiah_48_12_22,isaiah_48_12_22.txt,1
ISAIAH 50:1-3,isaiah_50_1_3,isaiah_50_1_3.txt,1
"ISAIAH 50:10-END, 51:1-8",isaiah_50_10_end_51_1_8,isaiah_50_10_end_51_1_8.txt,1
ISAIAH 50:4-9,isaiah_50_4_9,isaiah_50_4_9.txt,1
"ISAIAH 52:13-END, 53:1-END",isaiah_52_13_end_53_1_end,isaiah_52_13_end_53_1_end.txt,1
ISAIAH 53:7-END [SELECTION],isaiah_53_7_end_selection,isaiah_53_7_end_selection.txt,1
ISAIAH 55:2-END [SELECTION],isaiah_55_2_end_selection,isaiah_55_2_end_selection.txt,1
ISAIAH 58:1-11,isaiah_58_1_11,isaiah_58_1_11.txt,1
ISAIAH 5:1-9,isaiah_5_1_9,isaiah_5_1_9.txt,1
ISAIAH 5:20-30,isaiah_5_20_30,isaiah_5_20_30.txt,1
ISAIAH 61:1-6,isaiah_61_1_6,isaiah_61_1_6.txt,1
"JEREMIAH 11:17-END, 12:1-13",jeremiah_11_17_end_12_1_13,jeremiah_11_17_end_12_1_13.txt,1
JEREMIAH 13:15-22 [SELECTION],jeremiah_13_15_22_selection,jeremiah_13_15_22_selection.txt,1
JEREMIAH 16:9-13,jeremiah_16_9_13,jeremiah_16_9_13.txt,1
"JEREMIAH 22:29-END, 23:1-6 [SELECTION]",jeremiah_22_29_end_23_1_6_selection,jeremiah_22_29_end_23_1_6_selection.txt,1
JEREMIAH 38:31-34,jeremiah_38_31_34,jeremiah_38_31_34.txt,1
JEREMIAH 7:1-14,jeremiah_7_1_14,jeremiah_7_1_14.txt,1
"JEREMIAH 8:15-END, 9:1-6",jeremiah_8_15_end_9_1_6,jeremiah_8_15_end_9_1_6.txt,1
JEREMIAH 8:4-9,jeremiah_8_4_9,jeremiah_8_4_9.txt,1
JEREMIAH 9:11-18 [SELECTION],jeremiah_9_11_18_selection,jeremiah_9_11_18_selection.txt,1
JEREMIAH 9:6-10,jeremiah_9_6_10,jeremiah_9_6_10.txt,1
"JOB 23:2-END, 24:1-END",job_23_2_end_24_1_end,job_23_2_end_24_1_end.txt,1
"JOB 27:1-20, 28:1-2",job_27_1_20_28_1_2,job_27_1_20_28_1_2.txt,1
"JOB 27:16-20, 28:1",job_27_16_20_28_1,job_27_16_20_28_1.txt,1
"JOB 27:2-END, 28:1-13",job_27_2_end_28_1_13,job_27_2_end_28_1_13.txt,1
"JOB 29:21-END, 30:1-10",job_29_21_end_30_1_10,job_29_21_end_30_1_10.txt,1
JOEL 1:5-15,joel_1_5_15,joel_1_5_15.txt,1
JOHN 10:17-21,john_10_17_21,john_10_17_21.txt,1
JOHN 10:29-38,john_10_29_38,john_10_29_38.txt,1
JOHN 11:46-END,john_11_46_end,john_11_46_end.txt,1
JOHN 11:55-END,john_11_55_end,john_11_55_end.txt,1
JOHN 12:1-8,john_12_1_8,john_12_1_8.txt,1
JOHN 12:20-36 [SELECTION],john_12_20_36_selection,john_12_20_36_selection.txt,1
JOHN 12:27-36 [SELECTION],john_12_27_36_selection,john_12_27_36_selection.txt,1
JOHN 12:36-43 [SELECTION],john_12_36_43_selection,john_12_36_43_selection.txt,1
JOHN 12:44-50,john_12_44_50,john_12_44_50.txt,1
JOHN 13:1-17,john_13_1_17,john_13_1_17.txt,1
JOHN 13:21-30,john_13_21_30,john_13_21_30.txt,1
"JOHN 13:33-38, 14:1-25",john_13_33_38_14_1_25,john_13_33_38_14_1_25.txt,1
JOHN 2:13-17 [SELECTION],john_2_13_17_selection,john_2_13_17_selection.txt,1
JOHN 5:19-29,john_5_19_29,john_5_19_29.txt,1
JOHN 5:21-30,john_5_21_30,john_5_21_30.txt,1
JOHN 8:12-20,john_8_12_20,john_8_12_20.txt,1
JOHN 8:21-29,john_8_21_29,john_8_21_29.txt,1
JOHN 8:51-END,john_8_51_end,john_8_51_end.txt,1
"JONAH 1:10-END, 2:1-8",jonah_1_10_end_2_1_8,jonah_1_10_end_2_1_8.txt,1
JONAH 2:2-10,jonah_2_2_10,jonah_2_2_10.txt,1
LAMENTATIONS OF JEREMIAH 1:1-4,lamentations_of_jeremiah_1_1_4,lamentations_of_jeremiah_1_1_4.txt,1
LAMENTATIONS OF JEREMIAH 3:1-END,lamentations_of_jeremiah_3_1_end,lamentations_of_jeremiah_3_1_end.txt,1
LAMENTATIONS OF JEREMIAH 5:16-22 [SELECTION],lamentations_of_jeremiah_5_16_22_selection,lamentations_of_jeremiah_5_16_22_selection.txt,1
LEVITICUS 23:5-12,leviticus_23_5_12,leviticus_23_5_12.txt,1
LUKE 11:37-52,luke_11_37_52,luke_11_37_52.txt,1
LUKE 13:23-30,luke_13_23_30,luke_13_23_30.txt,1
LUKE 13:31-END,luke_13_31_end,luke_13_31_end.txt,1
LUKE 1:46-55,luke_1_46_55,luke_1_46_55.txt,1
LUKE 1:68-79,luke_1_68_79,luke_1_68_79.txt,1
LUKE 21:34-END,luke_21_34_end,luke_21_34_end.txt,1
LUKE 22:1-6,luke_22_1_6,luke_22_1_6.txt,1
LUKE 22:7-13,luke_22_7_13,luke_22_7_13.txt,1
LUKE 24:1-12,luke_24_1_12,luke_24_1_12.txt,1
LUKE 2:29-32,luke_2_29_32,luke_2_29_32.txt,1
LUKE 9:18-22,luke_9_18_22,luke_9_18_22.txt,1
MALACHI 1:1-9,malachi_1_1_9,malachi_1_1_9.txt,1
MARK 10:32-34,mark_10_32_34,mark_10_32_34.txt,1
MARK 11:11-19,mark_11_11_19,mark_11_11_19.txt,1
