reference	export_file	service	hour	section
EZEKIEL 37:1-14	EZEKIEL 37:1-14	ezekiel_37_1_14.txt	DAY of Sunday	SIXTH Hour (Funeral Prayer)	Prophecies
PSALMS 64:5 (LXX)	PSALMS 64:5	psalms_64_5_lxx.txt	DAY of Sunday	SIXTH Hour (Funeral Prayer)	English and Arabic Psalm & Gospel
LAMENTATIONS OF JEREMIAH 1:1-4	LAMENTATIONS 1:1-4	lamentations_of_jeremiah_1_1_4.txt	DAY of Sunday	NINTH Hour	Prophecies
ZEPHANIAH 3:11-20	ZEPHANIAH 3:11-20	zephaniah_3_11_20.txt	DAY of Sunday	NINTH Hour	Prophecies
PSALMS 8:3-4 (LXX) [SELECTION]	PSALMS 8:3-4	psalms_8_3_4_lxx_selection.txt	DAY of Sunday	NINTH Hour	English and Arabic Psalm & Gospel
ISAIAH 48:12-22	ISAIAH 48:12-22	isaiah_48_12_22.txt	DAY of Sunday	ELEVENTH Hour	Prophecies
NAHUM 1:2-8	NAHUM 1:2-8	nahum_1_2_8.txt	DAY of Sunday	ELEVENTH Hour	Prophecies
PSALMS 8:3, 8:2 (LXX) [SELECTION]	PSALMS 8:3, 8:2	psalms_8_3_8_2_lxx_selection.txt	DAY of Sunday	ELEVENTH Hour	English and Arabic Psalm & Gospel
ZEPHANIAH 1:2-12	ZEPHANIAH 1:2-12	zephaniah_1_2_12.txt	EVE of Monday	FIRST Hour	Prophecies
PSALMS 26:6-8 (LXX) [SELECTION]	PSALMS 26:6-8	psalms_26_6_8_lxx_selection.txt	EVE of Monday	FIRST Hour	English and Arabic Psalm & Gospel
ZEPHANIAH 1:14-END, 2:1-2	ZEPHANIAH 1:14-18, 2:1-2	zephaniah_1_14_end_2_1_2.txt	EVE of Monday	THIRD Hour	Prophecies
PSALMS 27:9, 27:2 (LXX) [SELECTION]	PSALMS 27:9, 27:2	psalms_27_9_27_2_lxx_selection.txt	EVE of Monday	THIRD Hour	English and Arabic Psalm & Gospel
JOEL 1:5-15	JOEL 1:5-15	joel_1_5_15.txt	EVE of Monday	SIXTH Hour	Prophecies
PSALMS 28:1-2 (LXX)	PSALMS 28:1-2	psalms_28_1_2_lxx.txt	EVE of Monday	SIXTH Hour	English and Arabic Psalm & Gospel
MICAH 2:3-11 [SELECTION]	MICAH 2:3-11	micah_2_3_11_selection.txt	EVE of Monday	NINTH Hour	Prophecies
PSALMS 16:6, 16:1 (LXX) [SELECTION]	PSALMS 16:6, 16:1	psalms_16_6_16_1_lxx_selection.txt	EVE of Monday	NINTH Hour	English and Arabic Psalm & Gospel
MICAH 2:13 [SELECTION], 3:1-4	MICAH 2:13, 3:1-4	micah_2_13_selection_3_1_4.txt	EVE of Monday	ELEVENTH Hour	Prophecies
PSALMS 17:18-19 (LXX) [SELECTION]	PSALMS 17:18-19	psalms_17_18_19_lxx_selection.txt	EVE of Monday	ELEVENTH Hour	English and Arabic Psalm & Gospel
GENESIS 1:1-2:3	GENESIS 1:1-2:3	genesis_1_1_2_3.txt	DAY of Monday	FIRST Hour	Prophecies
ISAIAH 5:1-9	ISAIAH 5:1-9	isaiah_5_1_9.txt	DAY of Monday	FIRST Hour	Prophecies
WISDOM OF SIRACH 1:1-17	WISDOM OF SIRACH 1:1-17	wisdom_of_sirach_1_1_17.txt	DAY of Monday	FIRST Hour	Prophecies
PSALMS 71:18-19 (LXX) [SELECTION]	PSALMS 71:18-19	psalms_71_18_19_lxx_selection.txt	DAY of Monday	FIRST Hour	English and Arabic Psalm & Gospel
ISAIAH 5:20-30	ISAIAH 5:20-30	isaiah_5_20_30.txt	DAY of Monday	THIRD Hour	Prophecies
JEREMIAH 9:11-18 [SELECTION]	JEREMIAH 9:11-18	jeremiah_9_11_18_selection.txt	DAY of Monday	THIRD Hour	Prophecies
PSALMS 121:1-2 (LXX)	PSALMS 121:1-2	psalms_121_1_2_lxx.txt	DAY of Monday	THIRD Hour	English and Arabic Psalm & Gospel
EXODUS 32:7-15	EXODUS 32:7-15	exodus_32_7_15.txt	DAY of Monday	SIXTH Hour	Prophecies
WISDOM OF SOLOMON 1:1-9	WISDOM OF SOLOMON 1:1-9	wisdom_of_solomon_1_1_9.txt	DAY of Monday	SIXTH Hour	Prophecies
PSALMS 121:4 (LXX)	PSALMS 121:4	psalms_121_4_lxx.txt	DAY of Monday	SIXTH Hour	English and Arabic Psalm & Gospel
GENESIS 2:15-END, 3:1-END	GENESIS 2:15-24, 3:1-24	genesis_2_15_end_3_1_end.txt	DAY of Monday	NINTH Hour	Prophecies
ISAIAH 40:1-5	ISAIAH 40:1-5	isaiah_40_1_5.txt	DAY of Monday	NINTH Hour	Prophecies
PROVERBS OF SOLOMON 1:1-10	PROVERBS OF SOLOMON 1:1-10	proverbs_of_solomon_1_1_10.txt	DAY of Monday	NINTH Hour	Prophecies
PSALMS 64:6, 64:5 (LXX) [SELECTION]	PSALMS 64:6, 64:5	psalms_64_6_64_5_lxx_selection.txt	DAY of Monday	NINTH Hour	English and Arabic Psalm & Gospel
ISAIAH 50:1-3	ISAIAH 50:1-3	isaiah_50_1_3.txt	DAY of Monday	ELEVENTH Hour	Prophecies
WISDOM OF SIRACH 1:18-END	WISDOM OF SIRACH 1:18-18	wisdom_of_sirach_1_18_end.txt	DAY of Monday	ELEVENTH Hour	Prophecies
PSALMS 12:4-5 (LXX) [SELECTION]	PSALMS 12:4-5	psalms_12_4_5_lxx_selection.txt	DAY of Monday	ELEVENTH Hour	English and Arabic Psalm & Gospel
